Developer,1,+1,"£55,000",+10.00%,"16,427 (29.89%)","3,788"
Agile Software Development,2,-1,"£57,500",+4.54%,"15,941 (29.00%)","2,595"
Finance,3,0,"£65,000",+8.33%,"11,192 (20.36%)","1,510"
JavaScript,4,+2,"£52,500",+5.00%,"10,571 (19.23%)","2,368"
Azure,5,+4,"£57,500",+4.54%,"10,503 (19.11%)","1,904"
SQL,6,-2,"£52,500",+5.00%,"10,001 (18.20%)","1,617"
Microsoft,7,-2,"£50,000",+11.11%,"8,709 (15.84%)","1,961"
AWS,8,+5,"£65,000",-,"8,689 (15.81%)","1,530"
C#,9,-2,"£52,500",+5.00%,"8,332 (15.16%)","1,673"
Python,10,+4,"£65,000",+5.45%,"8,018 (14.59%)","1,380"
Java,11,-3,"£65,000",+7.88%,"7,950 (14.46%)","1,258"
.NET,12,-2,"£55,000",+10.00%,"7,872 (14.32%)","1,563"
DevOps,13,+5,"£62,500",-,"7,734 (14.07%)","1,417"
Windows,14,-3,"£45,000",+12.50%,"6,501 (11.83%)","1,106"
SQL Server,15,+1,"£50,000",+5.26%,"6,129 (11.15%)","1,078"
HTML,16,+1,"£50,000",+5.26%,"5,930 (10.79%)","1,390"
Software Engineering,17,+2,"£57,500",+4.54%,"5,901 (10.74%)","1,349"
Degree,18,-3,"£53,500",+7.00%,"5,544 (10.09%)","1,346"
CSS,19,+3,"£50,000",+5.26%,"5,500 (10.01%)","1,283"
Analyst,20,-8,"£45,000",+12.50%,"5,411 (9.84%)",537
Linux,21,0,"£55,000",-,"5,355 (9.74%)","1,109"
Docker,22,+11,"£65,000",-,"4,701 (8.55%)",912
Problem-Solving,23,-3,"£50,000",+5.26%,"4,635 (8.43%)",983
Scrum,24,-1,"£57,500",+4.54%,"4,439 (8.08%)",640
React,25,+21,"£60,000",+4.34%,"4,437 (8.07%)",958
Microservices,26,+17,"£65,000",-3.70%,"4,427 (8.05%)",894
AngularJS,27,+1,"£55,000",-,"4,422 (8.05%)",896
Git (software),28,-1,"£55,000",+10.00%,"4,240 (7.71%)",888
TDD,29,+2,"£60,000",+9.09%,"4,097 (7.45%)",857
Analytical Skills,30,-6,"£52,500",+5.00%,"3,757 (6.84%)",610
